	Word	POS_tag	Named_Entity	Entity	Measured_Entity
31	sweetness	VB			
32	,	,			
33	ending	VBG			
34	on	IN			
35	an	DT			
36	appropriately	JJ			
37	feel-good	JJ			
38	note	NN			
39	.	.			
0	we	PRP			
1	not	RB			
2	only	RB			
3	feel	VB			
4	more	JJR			
5	involved	VBN			
6	in	IN			
7	the	DT			
8	story	NN			
9	,	,			
10	but	CC			
11	we	PRP			
12	feel	VBP			
13	like	IN			
14	we	PRP			
15	're	VBP			
16	seeing	VBG			
17	the	DT			
18	beginning	NN			
19	of	IN			
20	a	DT			
21	saga	NN			
22	that	IN			
23	we	PRP			
24	have	VBP			
25	cherished	VBN			
26	for	IN			
27	years	NNS			
28	.	.			
0	i	NN			
1	also	RB			
2	really	RB			
3	liked	VBD			
4	the	DT			
5	soundtrack	NN			
6	and	CC			
7	the	DT			
8	pace	NN			
9	of	IN			
10	the	DT			
11	film	NN			
12	,	,			
13	both	DT			
14	of	IN			
15	which	WDT			
16	zipped	VBD			
17	and	CC			
18	zagged	VBD			
19	,	,			
20	and	CC			
21	established	VBD			
22	a	DT			
23	nice	JJ			
24	rhythm	NN			
25	to	TO			
26	it	PRP			
27	all	DT			
28	.	.			
